ids,categories,text
training/12267,['crude'],MOBIL RAISES WEST COAST CRUDE PRICES BETWEEN ONE DLR AND 1.75 DLRS/BBL TODAY MOBIL RAISES WEST COAST CRUDE PRICES BETWEEN ONE DLR AND 1.75 DLRS/BBL TODAY
training/9614,"['crude', 'gas']","EIA SAYS DISTILLATE STOCKS OFF 3.2 MLN BBLS, GASOLINE UP 2.2 MLN, CRUDE UP 7.5 MLN EIA SAYS DISTILLATE STOCKS OFF 3.2 MLN BBLS, GASOLINE UP 2.2 MLN, CRUDE UP 7.5 MLN"
test/18824,['crude'],"DUPONT UNIT RAISES CRUDE OIL POSTINGS 50 CTS/BBL, EFFECTIVE YESTERDAY DUPONT UNIT RAISES CRUDE OIL POSTINGS 50 CTS/BBL, EFFECTIVE YESTERDAY"
training/7174,"['crude', 'earn', 'nat-gas']","BRITOIL SEES LOWER U.K. EXPLORATION EXPENDITURE Britoil Plc's &lt;BTOL.L> exploration expenditure for the U.K. In 1987 was likely to be only about a third of the level in 1986, though overseas expenditure would remain approximately the same, Chief executive David Walker said. He told reporters following the release of the company's 1986 figures that project expenditure would also remain at 1986 levels. U.K. Project expenditure in 1986 rose to 208 mln stg from 184 mln while exploration expenditure dropped to 87 mln from 156 mln. Overseas exploration fell to 28 mln from 58 mln in 1985. Earlier, Britoil posted a drop in pretax profit for 1986 to"
training/9436,"['crude', 'nat-gas']","ENERGY/U.S. OIL OUTPUT Energy Secretary John Herrington has proposed several ways to boost U.S. oil production, but he said all would cost the Treasury money and will come under close White House scrutiny before action is taken. One measure he said he favored would raise the depletion allowance to 27.5 pct on new oil and gas production as well as production using enhanced extraction methods. Herrington said such a plan would cost 200 mln dlrs a year. The White House, reacting, said it did not favor amending the tax code, but would look at the proposal. Herrington's proposals to spur production were made along with the release last week of the"
test/18325,"['acq', 'crude', 'nat-gas']","AMOCO &lt;AN> SAYS DOME &lt;DMP> BUY GOOD FOR CANADA Amoco Corp's wholly owned Amoco Canada Petroleum Co Ltd said its proposed 5.22-billion- Canadian-dlr acquisition of Dome Petroleum Ltd will benefit Canada just like the foreign investment that made possible commercial development of Alberta's oilsands. Amoco Canada president T. Don Stacy told an oilsands conference that ""Amoco Canada has presented the solution to the Dome problem, and we're investing our confidence, dollars and determination to make that solution work."" The Amoco buyout of debt-burdened Dome has angered Canadian nationalists, who want a Canadian buyer for Dome. Stacy descri"
test/18311,"['crude', 'gas']","API SAYS DISTILLATE STOCKS UP 2.85 MLN BBLS, GASOLINE OFF 2.37 MLN, CRUDE OFF 1.13 MLN API SAYS DISTILLATE STOCKS UP 2.85 MLN BBLS, GASOLINE OFF 2.37 MLN, CRUDE OFF 1.13 MLN"
training/1851,"['crude', 'gas']","EIA SAYS DISTILLATE STOCKS OFF 3.4 MLN BBLS, GASOLINE OFF 100,000, CRUDE UP 3.2 MLN EIA SAYS DISTILLATE STOCKS OFF 3.4 MLN BBLS, GASOLINE OFF 100,000, CRUDE UP 3.2 MLN"
training/14732,"['crude', 'fuel', 'gas']","API SAYS DISTILLATE, GASOLINE STOCKS UP IN WEEK Distillate fuel stocks held in primary storage rose by 628,000 barrels in the week ended April three to 106.96 mln barrels from a revised 106.33 mln the previous week, the American Petroleum Institute said. In its weekly statistical bulletin, the oil industry trade group said gasoline stocks rose 2.29 mln barrels to 247.91 mln barrels from a revised 245.62 mln, and crude oil stocks were up 8.52 mln barrels to 337.73 mln from a revised 329.21 mln. It said residual fuel stocks rose 28,000 barrels to 38.25 mln from a revised 37.98 mln barrels. API said refinery runs in the week rose to 12.54 mln ba"
test/17441,"['fuel', 'gas']","SINGAPORE OIL COMPANIES TO SET OWN PUMP PRICES Singapore oil companies can set their own petrol and diesel prices at the pump from today subject to ceilings determined by their individual wholesale prices, The Ministry of Trade and Industry said. The ministry previously revised pump prices and announced the changes for the oil companies. Lead content of petrol is further cut to 0.15 gm/litre from 0.4 gm from today. Pump prices of the lower lead petrol grades are expected to be announced soon by the oil companies which have said wholesale prices are between 1.3 cents/litre to 3.2 cents higher than previous grades."
